party,url,content,date
conservative,https://www.conservative.ca/the-hon-andrew-scheer-the-leader-of-canadas-conservatives-issues-statement-for-imamat-day-2/,"
FOR IMMEDIATE RELEASE
Ottawa, ON – The Hon. Andrew Scheer, Leader of the Canada’s Conservatives, issued the following statement: 
“Today,
Ismaili Muslims in Canada and all across the world celebrate the anniversary of
the accession of His Highness Prince Karim Aga Khan IV to the Imamat and to the
spiritual leadership of the Ismaili community. Part of the Imam’s mission is to
strengthen spirituality, eradicate poverty,  and renew people’s commitment
to the faith around the world.  
“Ismaili
Canadians are known for their generosity and community spirit. We are thankful
for their numerous contributions in art, science, business and other spheres of
life.
 “On
behalf of Canada’s Conservatives, I would like to extend my sincerest wishes to
Ismaili Muslims across Canada, and offer my congratulations to His Highness
Prince Karim Aga Khan IV on the anniversary of his accession as Imam.
 “Khushiali
Mubarak!”
-30-
For more information, please contact:
Julie Pham
[email protected]
(613) 947-9932
",2019-07-11
conservative,https://www.conservative.ca/justin-trudeau-must-remove-liberal-mp-peschisolido-from-caucus-conservatives/,"
FOR IMMEDIATE RELEASE

TORONTO, ON
– Today, Peter Kent, the Conservative Shadow Minister for Ethics, called on
Justin Trudeau to remove Liberal MP Joe Peschisolido from caucus until the RCMP
gets to the bottom of his alleged ties to organized crime. Kent
issued the following statement:

“This morning’s media reports are extremely concerning.  It is not
appropriate for any Member of Parliament to be connected to criminals and
Justin Trudeau and the Liberals can no longer look the other way.  They
should remove Joe Peschisolido from the Liberal caucus until the RCMP gets to
the bottom of this.

“Leadership starts at the top, and Justin Trudeau has shown his caucus and
cabinet that it’s okay to bend the rules to suit your own political and
personal self-interests.

“Justin Trudeau was the first Prime Minister in our country’s history to be
found guilty of breaking Conflict of Interest rules. Since then, there have
been three other Trudeau Liberals found guilty of ethics violations. Now, we
know the RCMP is probing Peschisolido and former Trudeau Liberal MP Raj Grewal.

“Justin Trudeau promised to be different. He promised ‘sunny ways,’ but clearly
he is Not as Advertised.”

BACKGROUNDER:

Trudeau Liberal RCMP
Probes:  
Raj
     Grewal’s India Guests – The RCMP has launched an investigation into
     the actions of former Trudeau Liberal MP Raj Grewal. According to the
     Prime Minister’s Office, the RCMP has asked questions related to Grewal’s
     invitation of a former business partner onto Trudeau’s disastrous trip to
     India.
 Trudeau
Liberal Ethics Violations:  
Justin
     Trudeau’s illegal vacation to a private island
     – Justin Trudeau was the first Prime Minister in Canada’s history to have
     been found to have broken Conflict of Interest rules
     for two all-expenses paid vacations to a private island in the Bahamas.
      Bill
     Morneau’s fancy French villa – The Finance Minister was found guilty for breaking conflict of interest
     rules after failing to disclose the private corporation which
     housed his fancy French villa. This ruling came after months of ethics
     questions surrounding Bill Morneau’s holding of shares in Morneau Shepell
     which could have benefited from the Trudeau Liberal pension changes. ClaClam
     Scam – Dominic Leblanc was found to
     have broken conflict of interest rules for
     awarding a lucrative clam fishing license to a company run by his wife’s
     cousin. Since then Leblanc has been under fire for his close personal relationships to five of the six
     recently appointed New Brunswick judges.The
     Municipal Robocalls – Just this week, the Conflict
     of Interest Commissioner found Trudeau Liberal MP Anita Vandenbeld in violation of the Conflict of Interest Code
     for using her public office to try and help get her husband elected as an
     Ottawa City Councillor.  
Finally, it’s worth
noting that there continues to be two outstanding Conflict of Interest
investigations into Trudeau Liberals. Canadians are still awaiting verdicts on
the probes into Trudeau’s office’s involvement in the SNC-Lavalin scandal and into Raj Grewal’s actions.  
 
-30-
For more information: Office of Peter Kent, MP[email protected] 613-992-0253 
",2019-07-11
conservative,https://www.conservative.ca/justin-trudeaus-backdoor-gun-registry-to-become-law/,"
FOR IMMEDIATE RELEASE
OTTAWA, ON – Pierre Paul-Hus, Shadow Minister for Public Safety and Emergency Preparedness, issued a statement following the final vote on the Liberals’ new firearms legislation, Bill C-71:
“Justin Trudeau’s Liberals have failed to address gun crime. Instead, their legislation senselessly targeting law-abiding gun owners has passed it’s final legislative hurdle.
“Imposing a backdoor gun registry does nothing to keep Canadians safe. Not only does it fail to address gang violence or target gang criminals, but the word “gang” does not even appear in the bill.
“Conservatives believe in putting dangerous criminals behind bars where they belong, as well as respecting the rights of law-abiding firearms owners.
“A Conservative Government led by Andrew Scheer will get tough on gangs, give law enforcement the tools they need to keep Canadians safe and crack down on illegal gun smuggling. And we will repeal C-71 once and for all.” 
-30- 
For more information:
Office of Pierre Paul-Hus, MP
[email protected]
(613) 995-8857
",2019-05-28
conservative,https://www.conservative.ca/conservatives-to-support-parents-in-mourning/,"
New conservative government to extend EI parental leave to parents in mourning
A new Conservative government will ensure
that EI parental leave is extended for eight weeks following the death of a
baby, affording parents experiencing unimaginable tragedy a much-needed
opportunity to begin coping with their loss.
“With this policy, we hope to give grieving parents some
much-needed support during a time of unimaginable loss,” said Blake Richards,
Conservative Candidate for Banff-Airdrie. “The government can, and must, do
more to support Canadians undergoing such trying times.”
The loss of a child is a situation no parents should ever
have to face. Unfortunately, so many Canadians across the country are put in
this terrible situation and parents are sometimes forced to return to work with
no opportunity to begin to address the profound and recent tragedy that
confronts them.
Currently, EI parental benefits end abruptly the week
following the loss of a child, which comes as a shock to many. A parent’s
sadness should not be compounded by financial worry, and these parents should
not have to worry about their bottom line. Extending EI parental benefits is
the least a government can do.
“There is nothing that can prepare a parent for this experience. We hope that by offering more time, parents will have the important opportunity to cope, to seek help, and to be comforted by those around then,” said Richards. “My deepest sympathies go out to parents who have struggled with the loss of a child. I am proud that a new Conservative government will do more to provide support and relief to Canadians experiencing such difficult times in their lives.”
Andrew Scheer, Leader of Canada’s Conservatives – “The death of a child, at any age is a painful experience – and the loss of a child is followed by the most intense grief. By extending EI benefits to grieving parents, a Conservative government will provide some relief to mourning parents.”
",2019-10-15
conservative,https://www.conservative.ca/andrew-scheer-reveals-his-plan-for-you-to-get-ahead/,"
Conservatives unveil fully costed platform that eliminates Justin Trudeau’s deficit by 2024.
Today, Canada’s Conservatives released Andrew Scheer’s
Plan for You to Get Ahead, a fully
costed platform that details how a new Conservative government will live within
its means and put more money in your pockets.
In his remarks, Andrew Scheer
offered examples of how typical Canadian families will get ahead under a new
Conservative government:
Under a new Conservative government,
an average retired couple living in Tsawwassen will save $2,580 a year.Under a new Conservative government, a family of four – soon to be five –
in Montreal will save $4,642 a year.Under a new Conservative government,
a family of four in Markham will save $3,264 a year.
“Under
Justin Trudeau, Canadians are working harder and harder, but they’re just not
getting ahead. Everything keeps getting more expensive and if Trudeau is
re-elected, it will only get worse,” Scheer said.
“My Plan For You To Get Ahead is filled with
achievable and tangible ways that a new Conservative government under my
leadership will put more money in your pockets so you can get ahead.”
The Conservative
platform also shows a costed and independently verified path back to a balanced
budget by 2024-2025. This will be done through a combination of spending
restraint and reductions to both corporate handouts to profitable corporations
and foreign aid to relatively wealthy countries.
“My
plan eliminates Justin Trudeau’s damaging deficits because Conservatives know a
balanced budget is the only way to make sure services like health care are
protected,” Scheer said. 
As Prime Minister, Andrew Scheer will provide:
1. More money for you, for your kids, and for your retirement 
By scrapping Trudeau’s carbon tax, providing a Universal Tax Cut, taking the GST off home heating, making maternity benefits tax-free, boosting the RESP, increasing the Age Credit, bringing back tax credits for children’s arts, fitness, and learning, and introducing the Green Home Renovation Tax Credit.
2. More good jobs
By reversing Trudeau’s tax hikes on small business, creating a National Energy Corridor to generate opportunities, boosting innovation and commercialization, supporting economic immigration, promoting interprovincial trade, building infrastructure projects that reduce commute times and lower emissions, and more.
3. More innovation to fight climate change 
By taking the fight against climate change global and incentivizing industry to develop emissions-reducing technology that can be shared with the world’s highest-emitting countries.
4. More help at home
By supporting our veterans, improving our correctional system, securing our neighbourhoods, strengthening border protection, reducing health care wait times, and more.
5. More strength abroad 
By
confronting the global complexities of climate change, human migration,
cybersecurity, and national defence, renewing relationships with important
allies, and standing up for Canada on the world stage. 
“It’s
time to turn the page on four years of broken promises. As Canadians, it’s time
for Canadians to look to the future once again with confidence,” Scheer said. 
The
platform was verified by Jack Mintz, President’s Fellow at the University of
Calgary’s School of Public Policy.
“I
conclude, therefore, that the Conservative Party fiscal plan is reasonably
estimated, resulting in a budgetary balance in five years subject to
uncertainties that impact any economic forecast including those of the PBO,”
Mintz said.
SUPPORTING DOCUMENTS:
-Backgrounder-PBO Costing-Platform
",2019-10-11
conservative,https://www.conservative.ca/justin-trudeau-cannot-be-trusted-to-solve-gang-and-gun-violence/,"
Trudeau has rolled back strict penalties for gang members and will remove minimum sentences for gun crimes
Justin Trudeau wants Canadians to think he’s serious
about cracking down on crime.
The only thing he’s serious about is making
law-abiding firearms owners follow more laws.
Trudeau has failed to address the gang problem that
has been steadily growing over the last four years. He also refuses to
introduce stricter penalties for criminals who smuggle guns across the border
and into Canadian cities.  
Shockingly Justin Trudeau changed the law so dangerous
gang members receive lighter sentences: https://www.surreynowleader.com/news/gangs-in-surrey-the-search-for-solutions/
Trudeau also plans to reduce sentences for gang
members who commit a violent crime with a handgun: https://www.cbc.ca/news/politics/mandatory-minimum-sentences-liberal-trudeau-harper-government-1.4103855
Justin Trudeau is simply not as advertised and he
can’t be trusted to be tough on crime and crackdown on gang members who commit
violent crimes with guns. 
How else do you explain spending three times as much
on canoes as on fighting crime? https://globalnews.ca/video/5967294/federal-election-2019-anyone-want-to-go-camping-conservative-candidate-criticizing-liberals-proposed-funding-of-camping-program
Andrew Scheer has a
better plan – one that goes after the criminals who use guns to commit crimes,
instead of law-abiding gun owners. 
",2019-09-30
conservative,https://www.conservative.ca/the-last-time-justin-trudeau-needed-money-he-raised-taxes-on-canadians-living-with-disabilities/,"
Trudeau can’t be trusted to make life more
affordable for you and your family  
Ottawa,
Ontario – Yesterday, as part of the Liberal platform, Justin Trudeau announced
an expansion of the Child Disability Tax Credit. 
But
the last time Justin Trudeau needed money for his out-of-control deficit
spending he targeted Canadians living with disabilities to pay the bill.
In
2016 Justin Trudeau ordered the Canada Revenue Agency (CRA) to crack down on
“tax cheats”. As a result, the CRA started clawing back disability benefits –
cutting off diabetics, children with Autism, and a number of other Canadians
living with chronic conditions. 
The result was endless hardship for Canadians
living with disabilities.
CRA policy change prompted
diabetes tax credit denials, health groups allege https://www.ctvnews.ca/politics/cra-policy-change-prompted-diabetes-tax-credit-denials-health-groups-allege-1.3706393
The CRA makes it so hard to get the disability tax credit, many don’t even try  https://globalnews.ca/news/3956042/cra-disability-tax-credit-canada/beta/?utm_expid=.kz0UD5JkQOCo6yMqxGqECg.1&utm_referrer=https%3A%2F%2Fwww.google.ca%2F 
CRA backs down in row with diabetics
denied disability tax credit
https://www.ctvnews.ca/politics/cra-backs-down-in-row-with-diabetics-denied-disability-tax-credit-1.3713390
The CRA Is Denying The Disability Tax Credit To Some With Disabilities
https://www.huffingtonpost.ca/jennifer-zwicker/the-cra-is-denying-the-disability-tax-credit-to-some-with-disabilities_a_23338492/
When Justin Trudeau doesn’t need your vote
but he still needs your money, Trudeau will again raise taxes on Canadians
living with disabilities. 
Trudeau simply cannot be trusted to make
life more affordable for these families, he is simply not as advertised.   
Only Andrew Scheer and the Conservatives
can be trusted to put more money back in your pocket to help you and your
family get ahead.
",2019-09-30
conservative,https://www.conservative.ca/the-hon-andrew-scheer-the-leader-of-canadas-conservatives-issues-statement-on-black-ribbon-day/,"
AUGUST
23, 2019
FOR
IMMEDIATE RELEASE
OTTAWA, ON – Andrew Scheer, Leader of the Conservative Party of Canada and Leader of the Official Opposition, issued the following statement on Black Ribbon Day, the National Day of Remembrance for the Victims of Communism and Nazism in Europe:  “Today, communities across Canada and around the world will take part in ceremonies to mark Black Ribbon Day, a day of tribute to the millions of innocent victims of Communism and Nazism in Europe. 
“Established in
2009 by a unanimous decision of the House of Commons, Black Ribbon Day
commemorates the signing of the infamous Molotov-Ribbentrop Pact. Orchestrated
eighty years ago between the Soviet and National Socialist regimes, this secret
agreement divided Europe into spheres of influence and resulted in the suffering,
humiliation, and death of millions of innocent victims.
On September 1,
1939, Nazi Germany invaded Poland from the West, provoking the outbreak of
World War II, and then an equally brutal invasion by the Soviet Union in the
East followed two weeks later. 
“Stalin’s secret
agreement with Hitler allowed the Nazis to perpetrate the Holocaust, while the
Soviets invaded several other independent sovereign nations and sent many
innocent men and women to forced-labour camps, also known as gulags. 
“Following the
end of the war, the Nazi regime was destroyed, but the Soviet regime survived
and spread its terror across the eastern half of Europe for decades. It was not
finally stopped until the dissolution of the Soviet Union in 1991. 
“Many of those fleeing Soviet communist
persecution and oppression made Canada their home. Often arriving alone
and with little means, these remarkably strong-willed and hard-working
individuals made incredible contributions to our society. 
“We
must strongly condemn any whitewashing of the atrocities committed by the Nazi
and Soviet regimes, and the spread of hate, propaganda, and disinformation.

“On behalf of the Conservative Party of Canada and Official Opposition, I
commend those organizing and participating in Black Ribbon Day observances
today. I join with you in remembering the victims of Soviet and Nazi terror in
Europe. It is our duty to educate future generations about the atrocities of
the past in order to ensure that these murderous ideologies never have a chance
to rise again.”
-30-
For more information, please contact:
Julie Pham
(613) 947-9932
[email protected]
",2019-08-23
conservative,https://www.conservative.ca/trudeau-ship-building-announcement-nothing-but-cynical-electioneering-scheer/,"
FOR IMMEDIATE RELEASE
 REGINA, SK – The Honourable Andrew Scheer, Leader of Canada’s Conservatives and of the Official Opposition, released the following statement regarding the Trudeau government’s shipbuilding announcement today:
 “There are less than 100 days to the next election, and the Trudeau government is once again campaigning on the taxpayers’ dime, trying to buy people’s votes with their own money.
 “While it is good to see shipbuilding work go to Davie, today’s announcement is nothing but cynical electioneering from a government that will do anything and say anything to cling to power.
 “Canada’s Conservatives have championed the hard-working women and men at the Davie shipyard since day one, because they have delivered much needed ships on time and on budget. Our track-record of support is in direct contrast to the Trudeau government’s record of failure and disappointment. One of the very first things the Trudeau government tried to do after the 2015 election was to try and cancel the Asterix contract with Davie, and when it didn’t go their way they smeared the reputation of Vice-Admiral Mark Norman – a 38 year veteran of the Canadian Armed Forces.
 “When it comes to the shipbuilding industry, the Trudeau government has only ever encouraged delays and mismanagement. They have costed Canadian taxpayers billions of dollars.
 “Canada’s Conservatives will always stand up for our shipbuilding industry and for the brave women and men of the Canadian Armed Forces. This is why, in November of 2017, we called on Justin Trudeau and the Liberals to order a second interim supply ship from Davie. The Trudeau Government has once again failed to do the right thing.
 “While the Trudeau Liberals will try to swoop in at the final-hour, right before an election to buy people’s votes, Canadians should not be fooled. Justin Trudeau is clearly Not as Advertised.”
-30-
For more information:
 Daniel Schow[email protected] (613) 286-1050
 Virginie Bonneau[email protected] (613) 294-8150 
",2019-07-16
conservative,https://www.conservative.ca/justin-trudeau-supported-2008-liberal-ndp-coalition/,"
Justin Trudeau signed letter endorsing a Liberal-NDP coalition in 2008, just months after first being elected as a Member of Parliament
Justin Trudeau will pay any price to hold
onto power. He was willing to do it in 2008 and he is willing to do it now.
As a newly elected Member of Parliament in 2008, one of
Justin Trudeau’s first orders of business was to sign a letter to the Governor
General announcing his support and participation in a Liberal-Bloc-NDP
coalition. https://cpcassets.conservative.ca/wp-content/uploads/2019/10/15120538/0d1734dbea4f1b5.pdf
In fact, according to Brian Topp, one of the chief
negotiators of the coalition was Trudeau’s most trusted advisor, Katie Telford.
The 2008 coalition, like the coalition Trudeau refuses to
rule out with Jagmeet Singh, would have led to economic disaster in Canada with
skyrocketing taxes and mass unemployment. 
Canadians cannot trust Justin Trudeau. If he won’t rule
out a coalition with the NDP, it’s because he has a secret plan to do it when
he is defeated. If Trudeau has no plan to join a coalition, why won’t he simply
say it? 
Trudeau is already promising higher taxes and bigger
deficits if he’s re-elected. Imagine how much more you will pay with Trudeau
held hostage by the NDP.
The NDP’s price for propping up Trudeau will be even
higher taxes, more reckless spending, fewer jobs, bigger deficits, and more
debt.
The choice is clear. A Liberal-NDP coalition that will
cost you thousands of dollars more, or a Conservative government that will live
within its means and put more money in your pockets so you can get ahead.
https://cpcassets.conservative.ca/wp-content/uploads/2019/10/15120522/52d50634b52b00b.jpg
",2019-10-15
