party,url,content,date
liberal,https://www.liberal.ca/gender-equality-week-statement-by-the-leader-of-the-liberal-party-of-canada/,"

Share





Today, the Leader of the Liberal Party of Canada, Justin Trudeau, issued the following statement on the start of Gender Equality Week:
Gender equality benefits all of us. When everyone has a fair and equal chance to succeed, we all do better – whether it’s building peace, fighting the climate crisis, or growing economies that work for everyone. We all have a role to play to make that a reality, and Gender Equality Week is a chance to move forward.
Just this past week, we announced that a re-elected Liberal government will create hundreds of thousands of new before and after school care spaces, nearly double federal spending on child care, and move forward to deliver guaranteed paid family leave for every new parent in Canada. Because child care still falls disproportionately to women, these measures represent an important step forward for gender equality and will make a difference for families across Canada.
Our Liberal government has put gender equality at the heart of our work since day one. Over the last four years, we took historic steps to advance the rights of women, girls, and people of all gender identities. We passed unprecedented pay equity legislation, and legislation that added gender identity and expression as a protected ground in the Canada Human Rights Act. We took action to promote women’s leadership on boards and in the C-suite, and boosted support for women entrepreneurs with a plan to double the number of women entrepreneurs by 2025. We also created the first ever federal Strategy to Prevent and Address Gender-Based Violence, and with our National Housing Strategy, we’ve created more than 7,000 shelter spaces for survivors of family violence, and are making sure women, their families and their kids have access to safe, affordable housing.
Beyond our borders, we launched Canada’s first Feminist International Assistance Policy, which puts the empowerment, education, and health of women and girls at the centre of all our development assistance. We created the first ever Gender Equality Advisory Council to the G7 – and thanks to their leadership, we delivered a historic investment in education for women and girls in conflict and crisis situations. This summer, we also announced an unprecedented investment to protect the sexual and reproductive health rights of women and girls everywhere, including universal access to family planning, contraception, comprehensive sexuality education, and access to safe and legal abortion and post-abortion care. Canada also co-chaired the Equal Rights Coalition, the first intergovernmental network formed to promote and protect the rights of lesbian, gay, bisexual, transgender and intersex (LGBTI) people around the world.
But there is still so much more to do. Women’s rights and gender equality are under attack around the world, from the legitimization of gender-based violence, to the assault on a woman’s right to choose. Trans women, Indigenous women, racialized women, women with disabilities, low-income women, migrant and refugee women, and people of diverse gender identities still face unequal, unacceptable barriers. That has to change.
We’re going to take up that work, just as we’ve done so far. Even in Canada, while some politicians are intent on rolling back rights and cutting access to important services like health care and sexual assault centres, Gender Equality Week reminds us that we have the choice to keep moving forward. Let’s stand united, work together, and build a more equal Canada, and a better world for everyone.
",2019-09-22
liberal,https://www.liberal.ca/justin-trudeau-and-sophie-gregoire-trudeau-to-join-lina-boivin-in-chicoutimi-le-fjord-2/,"

Share





Saguenay, QC – Justin Trudeau, Leader of the Liberal Party of Canada, and Sophie Grégoire Trudeau will join liberal candidate Lina Boivin in Chicoutimi—Le Fjord on Thursday, June 14, 2018.
“Justin Trudeau and I are the only team that have a positive plan to strengthen our middle class, stand up for local jobs, and provide real help for families and seniors – and I’m happy to welcome him back to our region,” said Boivin. “We can’t let Andrew Scheer’s Conservatives take us back to the failed policies of Stephen Harper – policies that have left too many Quebec families behind. ”
Thursday, June 14, 2018
10:00 AM – Justin Trudeau and Lina Boivin will visit workers at Industries Dodec
1275 Rue Bersimis
Saguenay, QC, G7K 1A4
Notes for Media: Photo Opportunity – Media should arrive by 9:15 AM
12:15 PM – Justin Trudeau, Sophie Grégoire Trudeau, and Lina Boivin will visit the Grand Défi Pierre-Lavoie
900 Rue Mars
La Baie, QC, G7B 3N7
Notes for Media: Open Media – Media should arrive by 11:45 AM in the media parking lot.
Please note that all times are local.
For more information on Lina Boivin, Team Trudeau candidate for Chicoutimi—Le Fjord, please visit: http://linaboivin.liberal.ca/en/
",2018-06-13
liberal,https://www.liberal.ca/justin-trudeau-joins-supporters-at-team-trudeau-2019-nomination-event-with-kim-rudd/,"

Share





Cobourg, ON – Justin Trudeau will join local Liberals for Kim Rudd’s Team Trudeau 2019 nomination event in Northumberland—Peterborough South on October 19, 2018.
Justin Trudeau and the Liberal team are focused on a positive plan to strengthen the middle class, grow the economy, and make life better for Ontario families. More than 58,000 Ontarians have registered as new Liberals in the last two years alone – and that grassroots support is continuing to grow every day.
Media are invited to cover remarks being delivered by Mr. Trudeau to volunteers and supporters in Northumberland—Peterborough South:
Team Trudeau 2019 Nomination event
 with remarks from Justin Trudeau
October 19, 2018
7:00 PM EDT
LiUNA local 183
560 Dodge Street,
Cobourg, ON, K9A 4K5
Notes for Media:
Open media coverage
Media must arrive to the main entrance by 6:15 PM
RSVP: media@liberal.ca
Please note: all times are local.
",2018-10-18
liberal,https://www.liberal.ca/liberals-nominate-rachel-bendayan-as-new-team-trudeau-candidate-for-outremont/,"

Share





Outremont, QC- Local Liberals in Outremont have nominated Rachel Bendayan, a devoted community leader, as the official Team Trudeau candidate in the upcoming federal by-election.
“We are very proud to welcome Rachel Bendayan to Team Trudeau for this important by-election in Outremont,” said Suzanne Cowan, President of the Liberal Party of Canada. “No one understands the needs, hopes, and challenges of Outremont families and small businesses like Rachel, and I know that she will never stop working hard to make life better for everyone in her community.”
As a mother, lawyer, and community advocate who has knocked on more than 32,000 doors, Rachel Bendayan has a unique understanding of Outremont’s vibrant character and diversity. Rachel also served as Chief of Staff to the federal Minister of Small Business and Tourism, and she knows firsthand what it takes to strengthen the middle class, create well-paying new jobs, and offer real help to Outremont families.
“I am honoured to have earned the trust of local Liberals to represent our community, and to work with Justin Trudeau to continue growing our economy and strengthening our middle class,” said Rachel Bendayan. “Outremont needs a strong voice on Justin Trudeau’s team in Parliament, and I will never stop working hard to build a better future for our families.”
",2018-12-16
liberal,https://www.liberal.ca/justin-trudeau-joins-supporters-at-campaign-event-with-chris-rodgers/,"

Share





Ottawa, ON – Justin Trudeau will join Chris Rodgers and local Liberals for a Team Trudeau 2019 campaign event in Carleton, on September 9, 2019.
In this fall’s important election, Ontarians and all Canadians will have a clear choice. While Conservatives want to go backward with austerity and cuts to vital services that families rely on, Liberals are focused on moving forward with our positive plan to invest in the middle class.
Media are invited to cover remarks being delivered by Mr. Trudeau to volunteers and supporters in Carleton
2019 Liberal event with remarks from Justin Trudeau
September 9, 2019
6:30 PM
Chris Rodgers Campaign Office
5545 Manotick Main St
Manotick, ON, K4M 1A2
Notes for Media:
Open media coverage
Media must arrive by 5:30 PM
RSVP: media@liberal.ca
Please note: all times are local.
",2019-09-09
liberal,https://www.liberal.ca/after-facebook-ban-is-faith-goldy-recruiting-for-scheers-conservatives/,"

Share





OTTAWA, ON – Just minutes after Faith Goldy was banned by Facebook and Instagram for “spreading hate,” Faith Goldy urgently went online to encourage supporters to “go run sign up for your EDAs go make sure that our guys win within your various ridings.” (https://youtu.be/Kv7c73xN_7s?t=2706, Faith Goldy, YouTube, April 8, 2019)
EDAs (Electoral District Associations) are the local associations of members of a political party.
“Faith Goldy has been a long-time booster of Andrew Scheer, so it’s deeply troubling that after getting banned by Facebook, she is encouraging her supporters to infiltrate a political Party,” said Omar Alghabra, Liberal MP for Mississauga Centre. “I’m calling on Andrew Scheer to clearly state that he won’t tolerate anyone like Faith Goldy, or those who spread hate, in the Conservative Party.
“Canadians applauded Facebook’s decision to ban hate promoters. It’s high time that Andrew Scheer followed their example and addressed the lingering questions around his tolerance for such groups and individuals. Mr. Scheer needs to disavow and denounce Ms. Goldy and white supremacist groups without equivocation,” said Alghabra, while pointing to the numerous connections between Andrew Scheer and Faith Goldy.

Scheer and Faith Goldy spoke at the same rally on Parliament Hill in February (https://leaderpost.com/news/national/faith-goldy-five-others-banned-from-facebook-instagram-over-hate/wcm/94053542-fd47-40af-9fe5-ee287e57450b)
Faith Goldy attended and endorsed Scheer at his Leadership convention:”Andrew Scheer is a 38 year old man. He’s younger, he’s hipper, he’s fresher than the Prime Minister that we now have. And frankly, he’s much more authentic. And if the mainstream media has a problem with the so-con wing of the party, tough luck guys!” (https://youtu.be/1bmrhFHT3kM?t=142)
Scheer appeared on Faith Goldy’s YouTube channel when he was running for Conservative Leader, and promised to go duck hunting with her (https://www.youtube.com/watch?v=z-JVPbMj_V4)
Scheer’s Campaign Manager co-founded Rebel Media, which employed Faith Goldy.

“If Andrew Scheer doesn’t clearly disavow and denounce Faith Goldy, we can only assume he’s accepting her support for the Conservative Party.”
",2019-04-09
liberal,https://www.liberal.ca/justin-trudeau-joins-supporters-at-team-trudeau-2019-nomination-event-with-tamara-taggart/,"

Share





Vancouver, BC – Justin Trudeau will join local Liberals for a Team Trudeau nomination event with Tamara Taggart in Vancouver Kingsway on March 24, 2019.
Justin Trudeau and the Liberal team are focused on a strong plan for British Columbians: to strengthen our middle class, grow the economy, invest in affordable housing and better roads, bridges, and transit, and protect a healthy environment for our kids and grandkids. More than 15,000 British Columbians have signed up as new Liberals in the last two years alone, and that grassroots support is continuing to grow every day.
Media are invited to cover remarks being delivered by Mr. Trudeau to volunteers and supporters in Vancouver Kingsway:
Sunday, March 24, 2019
7:15 PM PST – Team Trudeau 2019 Nomination event with remarks from Justin Trudeau and Tamara Taggart
Kensington Community Centre
5175 Dumfries St
Vancouver, BC, V5P 3A2
Notes for Media:
Open media coverage
Media must arrive by 6:30PM
RSVP: media@liberal.ca
Please note: all times are local.
",2019-03-23
liberal,https://www.liberal.ca/justin-trudeau-to-join-supporters-in-nanaimo-and-winnipeg/,"

Share





Nanaimo, BC –Justin Trudeau, Leader of the Liberal Party of Canada, will join by-election candidate Michelle Corfield in Nanaimo—Ladysmith on Monday, March 25, before joining supporters at a Liberal donor appreciation event in Winnipeg later in the evening.
Monday, March 25, 2019
12:45 PM – Community visit with Justin Trudeau and Michelle Corfield in Nanaimo
For specific location details, please contact media@liberal.ca
Notes for Media:
Open Coverage – Media should arrive by 12:15 PM
7:45 PM – Justin Trudeau delivers remarks at a Liberal donor appreciation event in Winnipeg, MB
Inn at the Forks
75 Forks Market Rd
Winnipeg, MB, R3C 0A2
Notes for Media:
Open coverage of remarks – Media should arrive by 7:15 PM
For more details on the Liberal Party’s commitment to the strongest standards in federal politics for open and transparent fundraising events, visit https://www.liberal.ca/openfundraising/
Please note: all times are local.
",2019-03-24
liberal,https://www.liberal.ca/liberals-call-on-andrew-scheer-to-denounce-doug-fords-cuts-to-francophones/,"

Share





25 September, 2019
Andrew Scheer
Leader of the Conservative Party of Canada
1720-130 Albert St
Ottawa, ON
K1P 5G4
Dear Mr. Scheer,
Today, Ontario’s Francophones are celebrating more than 400 years of outstanding contributions to the cultural, social, economic and political life of our country.
Unfortunately, this contribution is under threat from the draconian cuts Doug Ford’s government has made to services for the Franco-Ontarian community.
The Liberal Party of Canada is a proud defender of official languages and will continue to stand united with Franco-Ontarians in protecting their linguistic rights. Our record includes, amongst other things:

The Action Plan for Official Languages 2018-2023 which includes a historic $2.7 billion investment;
A $675 million funding increase to the CBC/Radio-Canada;
Reinstatement and modernization of the Court Challenges Program;
Reinstatement of the long-form census;
Nomination of bilingual judges to the Supreme Court of Canada;
Prioritizing francophone immigration to Canada with the launch of a Francophone Immigration Strategy;
Commitment to modernize the Official Languages Act.

We regrettably note you have never had the courage to denounce Doug Ford’s direct attacks on the Franco-Ontarian community. By siding with Doug Ford, you have failed Francophones across the country.
Today, we call on you to once and for all denounce your friend Doug Ford’s deep cuts and that you commit to maintaining the funding we have put into place to support linguistic minorities.
In addition to denouncing Mr. Ford’s cuts, we call on you to explain to Canadians which services you plan to cut in order to balance the budget. Franco-Ontarians have every reason to fear the worst and that you will follow the same approach as Doug Ford: pretend you’re for the people during the election, then once elected, cut taxes for the wealthy and cut services for everyone else – and in this case, it is services for Francophones that will suffer.

Mona Fortier
Liberal candidate for Ottawa-Vanier and National Platform Committee Co-Chair

Marie-France Lalonde
Liberal candidate for Orléans
Letter: https://2019.liberal.ca/wp-content/uploads/sites/292/2019/09/Letter-for-Franco-Ontario-Day-En.pdf
",2019-09-25
liberal,https://www.liberal.ca/statement-by-the-leader-of-the-liberal-party-on-womens-history-month/,"

Share





The Leader of the Liberal Party, Justin Trudeau, today issued the following statement for Women’s History Month:
“During Women’s History Month, we celebrate the achievements of women and girls throughout our history and recognize the trailblazing women who have shaped our country.
From one generation to the next, women have built the Canada we know today – but their accomplishments have often gone unrecognized. Gender equality advocates have long led efforts to change that. This year’s theme, ‘Make An Impact,’ encourages us to celebrate their work, and spotlight women everywhere who are breaking glass ceilings and transforming our world for the better.
Over the last four years, our Liberal government has followed their lead. We’re helping more people learn about women leaders throughout our history, with initiatives like making Viola Desmond the face of the $10 bill – and we’re providing more support for the community organizations that are leading the fight for gender equality. Whether it’s launching the first ever federal Strategy to Prevent and Address Gender-Based Violence, or investing to double the number of women entrepreneurs by 2025, we’ve made progress to protect women’s rights and make sure people of all gender identities have a fair and equal chance to succeed. We’ve taken up this work beyond our borders, too – from our Feminist International Assistance Policy, to major investments in sexual and reproductive health rights, and in education for women and girls in conflict and crisis situations.
We’ve put gender equality at the heart of our work since day one – and we’ll continue to do so. Last month, we announced that a re-elected Liberal government will create hundreds of thousands of new before and after school care spaces, nearly double federal spending on child care, and move forward to deliver guaranteed paid family leave for every new parent in Canada. Because child care still falls disproportionately to women, these measures represent an important step forward for gender equality and will make a difference for families across Canada.
We know there is much more to do to make sure women’s contributions are valued, their voices are heard, and their rights are respected – especially for the most vulnerable women. Trans women, Indigenous women, racialized women, women with disabilities, low-income women, migrant and refugee women, and people of diverse gender identities still face unequal, unacceptable obstacles – and many activists from these groups are leading the fight to change that. Their work is part of a long history of women breaking down barriers – and building a better Canada.
In 2019, we’ve seen an attack on women’s rights around the world, from the legitimization of gender-based violence, to the assault on a woman’s right to choose. Even in Canada, some politicians are intent on rolling back rights and cutting access to important services like health care and sexual assault centres. Women’s History Month reminds us that we can’t lose ground on gender equality – and we need to stand with those who are fighting for it. Today, and every day, let’s come together for a more equal world, and choose forward, for all of us.”
",2019-10-01
