party,url,content,date
NDP,https://www.ndp.ca/news/reality-check-liberals-spent-years-profiting-student-debt,"
Reality Check: Liberals Spent Years Profiting off Student Debt Justin Trudeau’s government profited making billions of dollars off student debt, while young people struggled to get out from under crushing debt loads. “Justin Trudeau spent four years raking in billions of dollars in interest from young people who were just starting out in life, even while they were making sacrifices to make student loans payments every month — living at home, working two jobs, even putting off starting a family,” said NDP Leader Jagmeet Singh. “Trudeau and the Liberals let young people down. He gave a lot of fancy speeches about the next generation of Canadians — but never stopped reaching into their bank accounts and taking money away from them. Making a profit off student loans is wrong.” “Trudeau and the Liberals let young people down. He gave a lot of fancy speeches about the next generation of Canadians — but never stopped reaching into their bank accounts and taking money away from them. Making a profit off student loans is wrong.” The Liberals’ record on student debt shows how badly they’ve let down young Canadians: Total federal student debt is close to $17 billion dollars, while the Trudeau government has collected nearly $3 billion in interest payments from students since 2015.[1]
An internal government report called the student loan system “broken,” noting that the cost of education is growing faster than wages and higher costs of living are compounding the squeeze on young people.[2]
The average student debt burden is $26,000, takes between nine and 15 years to pay off, and payments can take up to 13% of graduates’ wages.[3]
The Parliamentary Budget Office estimates that nearly half of students will have financial needs at or above student loan limits while in school by 2021.[4]
Four provinces have already eliminated their interest on their loans: British Columbia, Manitoba, Nova Scotia, and Prince Edward Island. [5] ",2019-09-05
NDP,https://www.ndp.ca/news/its-time-new-deal-northern-ontario,"
It’s Time for a New Deal for Northern Ontario Decades of Liberal and Conservative neglect of the North have hurt people. The NDP has a plan to make life more affordable for Northerners. SUDBURY – Today, NDP candidates Charlie Angus (Timmins-James Bay), Carol Hughes (Algoma–Manitoulin–Kapuskasing), Beth Mairs (Sudbury), Stef Paquette (Nickel Belt) and Rob Boulet (Nipissing-Timiskaming) announced a New Deal for Northern Ontario. For far too long, Northerners have been finding it harder to make ends meet. The Liberal and Conservative policies failed to address the significant challenges people face in the region, and the NDP knows it is time to do things differently. “Northern families are struggling to make ends meet while the Liberals are looking out for their corporate friends,” said Hughes. “In a country as rich as Canada, we need to do better, and we can do better. Liberals and Conservatives haven’t worked for us. Only Northern Ontario New Democrats have a plan to make life more affordable, advance reconciliation, and create jobs for the region.” Trudeau’s Liberals haven’t worked for Northern Ontario – they’ve made life more expensive and haven’t done enough on climate and to deliver better services for Indigenous communities. Andrew Scheer is just more of the same of what the North has gotten from Stephen Harper and Doug Ford – cuts to the services people need. “Both the Liberals and Conservatives have undermined the economic development of Northern Ontario by refusing to invest in FedNor and failing our people,” said Angus. “We will not sit idly by while our economy slows down because of their bad decisions. The NDP will give the North its due by finally making FedNor a stand-alone regional economic development agency. That's how we will pursue job growth, long-term development, and support the growth of co-operative, Indigenous, and community enterprises.” Creating jobs in the North, protecting our environment, and setting the terms of a true nation-to-nation relationship with Indigenous people are all part of the NDP’s New Deal for Northern Ontario. ",2019-09-30
NDP,https://www.ndp.ca/news/liberals-should-be-evicted-phony-housing-promises,"
Liberals Should be Evicted for Phony Housing Promises Justin Trudeau likes to talk about housing. But the Parliamentary Budget Officer recently revealed that Justin Trudeau’s housing plan spends less as a percentage of GDP than the ten previous years under Stephen Harper, prompting Liberal housing lead Adam Vaughn to attack the independent PBO. Earlier this year, Justin Trudeau and Adam Vaughan got caught when they “double counted to rhetorical advantage” on the number of housing units they built. The Liberals didn’t mention “rent” once in their 2015 platform, and haven’t done anything to help renters during their four years in government. Nearly one in five Canadians spends more than 50% of their income on rent and utilities. The PBO also found that Trudeau’s government sent an additional $100 million to Ontario for housing programs, but allowed Doug Ford to cut funding for housing programs by $161 million, scrap rent control and slash funding to fight homelessness. On housing, Canadians can’t trust Justin Trudeau’s phony promises. ",2019-09-26
NDP,https://www.ndp.ca/news/trudeau-abandons-pharmacare-6-days-after-promising-it,"
Trudeau Abandons Pharmacare 6 Days After Promising It It’s been 22 years since the Liberals first rolled out their pharmacare promise. This week, they dusted it off again in an announcement that experts say comes “nowhere near” what is needed for a national pharmacare program. In fact, Trudeau’s platform can only muster one vague paragraph on the topic:
 The platform contains no details and no funding to back up Trudeau’s pretty words. Just six days after telling Canadians he would bring in pharmacare, Justin Trudeau has completely abandoned Canadians struggling with the cost of prescription drugs. ",2019-09-29
NDP,https://www.ndp.ca/news/justin-trudeau-refuses-denounce-berniers-debate-participation-despite-neo-nazi-hate-group-ties,"
Justin Trudeau Refuses to Denounce Bernier’s Debate Participation Despite Neo-Nazi, Hate Group Ties This morning it was revealed that among the founding members of Maxime Bernier’s People’s Party of Canada are members of extreme far-right, anti-immigrant hate groups. These include a former member of neo-Nazi group the Soldiers of Odin and a prominent member of Islamophobic hate group Pegida Canada. Despite these disturbing developments, Justin Trudeau is refusing to call on the Independent Debate Commission to reconsider their decision to allow Maxime Bernier to participate in upcoming leaders’ debates. This morning a reporter asked: “This morning Global News published a story showing some of the founding signatories to the People’s Party of Canada have either current or past ties to neo-nazi groups, Soldiers of Odin, far right groups. In light of this, would you ask the debate commissioner to reconsider the decision to allow Mr. Bernier in the debate?” Trudeau refused to denounce Bernier’s participation, instead blaming Stephen Harper for being selective about which debates he attended back in 2015. Jagmeet Singh has written to the debate commission to advocate against Bernier’s participation. NDP Leader Jagmeet Singh: “It’s disappointing that Justin Trudeau has refused to denounce Maxime Bernier’s participation in the debates, even after we learned that founding members of his party are members of known hate groups. Canadians expect Justin Trudeau to do everything possible to fight racism. He should be saying clearly that we should not be giving a national platform to hateful beliefs.” ",2019-09-23
NDP,https://www.ndp.ca/news/ndp-lays-out-fiscal-plan-pharmacare-dental-care-more-affordability-families,"
NDP Lays Out Fiscal Plan For Pharmacare, Dental Care, More Affordability for Families OTTAWA – With the NDP’s New Deal for People, families will get the medicine and dental care they need, lower cell phone bills, homes they can afford, an end to interest on student loans, and concrete advances on the climate crisis. And to pay for it, NDP Leader Jagmeet Singh and the NDP will stop letting the super-wealthy get away with not paying their fair share of taxes. “The system is rigged. And the NDP is going to un-rig it to work better for everyday people,” said Singh. “With Justin Trudeau in charge, the economy works great for the big pharma companies who are making record profits, but it’s not working for families paying sky-high prices for prescription drugs. It works great for the rich and the powerful who got a $14 billion tax break, but not for people struggling to find an affordable place to live. And it works great for the big polluters, but not for the young people who are worried about what kind of earth they’re being left to live on. I’m going to fix that. My plan is all about changing who Ottawa works for, and I choose you.” On Thursday, Singh revealed the NDP’s six priorities the NDP will ensure the next government delivers. A national universal pharmacare plan and a national dental care plan, delivering affordability and better health to Canadians.
A home people can afford, including massive investments in housing, real action on money laundering and a tax on foreign speculators.
Beginning to tackle student debt, by taking all interest off of student loans, current and future.
Lower cell phone and internet bills, by capping prices.
A bold plan and concrete action to fight the climate crisis, ending the subsidies to big oil companies, committing to science-based targets and helping workers during the transition from fossil fuels.
Ensuring the super-wealthy are paying their fair share by introducing a super wealth tax, closing tax loopholes, and ending giveaways for the richest companies and individuals. Singh’s platform includes a Super-Wealth Tax on fortunes over $20 million; an end to offshore tax havens, legally used by the wealthy to avoid paying Canadian taxes; ending all fossil fuel subsidies; and ending tax loopholes. These measures raise progressive new revenues and ensure a declining debt-to-GDP over the four-year plan. Quick Facts Everything in the NDP plan is additional to existing spending and programs.
The NDP plan does not raise taxes on middle or lower-income Canadians.
The Parliamentary Budget Officer has costed all the NDP’s revenue measures.
Debt-to-GDP ratio falls every year under the NDP’s four-year plan.
The NDP plan includes a Contingency Fund, equal to 15% of revenues every year. This is to make up for any shortfalls in revenue. ",2019-10-11
NDP,https://www.ndp.ca/news/justin-trudeaus-liberals-turned-their-backs-quebec,"
Justin Trudeau’s Liberals Turned Their Backs on Quebec In 2015, Quebecers expected Justin Trudeau to respect the Quebec nation, but Justin Trudeau did not work for the people of Quebec: He gave special treatment to Netflix, threatening Quebec culture (Le Soleil, October 3, 2017)
He refused to tax foreign web multinationals for 4 years, at the expense of local media (Journal de Montréal, February 5, 2018)
He refused to go after tax havens which are costing Quebecers millions of dollars and that profit his friend and Fundraising Chair for the Liberal Party, Stephen Bronfman (Le Devoir, November 5, 2017)
He refused to close the door on the Energy-East pipeline (Radio-Canada)
He sacrificed supply managed dairy farmers when he signed the new NAFTA (The Canadian Press, October 1, 2018)
He accepted an increase in the price of medications when he signed the new NAFTA (La Presse, October 2, 2018)
He slammed the door in the face of the Quebec government on the inclusion of Quebec in the Constitution (Radio-Canada, June 1, 2017) With the NDP's New Deal for People, Jagmeet Singh wants to build a country in which Quebecers feel like they can participate fully. NDP Leader Jagmeet Singh: ""Quebecers feel like Justin Trudeau abandoned them. The NDP understands that the Quebec nation is unique, which is why Jagmeet Singh's NDP wants a future where the national character of Quebec is not only recognized with fine words and speeches, but with concrete decisions and governance that fosters asymmetrical, cooperative and respectful federalism."" ",2019-10-02
NDP,https://www.ndp.ca/news/he-was-clear-winner-here-tonight-what-theyre-saying-about-jagmeet-singhs-debate-performance,"
“He Was The Clear Winner Here Tonight” - What They’re Saying About Jagmeet Singh’s Debate Performance “I think he was the clear winner here tonight.” - John Geddes, Maclean’s “Singh sounds good.”  - Justin Ling, Freelance Journalist “We might only be 15 minutes in but Singh is dominating.” - Lisa Kinsella, Daisy Consulting “NDP Leader Jagmeet Singh is the first to bring up Premier Doug Ford, claiming Conservative Leader Andrew Scheer will cut taxes for the wealthy and cut services for the rest.” - Cormac Mac Sweeny, 680 News Toronto “I think Singh’s a surprise for all of us, he’s a lot stronger than I thought he was going to be. Very scrappy.” - Amanda Galbraith, Navigator “Jagmeet Singh succeeding in bringing the focus back to in-studio issues whereas Scheer is trying to make the debate a pile-on against invisible Trudeau.” - Steven Zhou, VICE “If this is Jagmeet Singh introducing himself to Canadian voters, many who are just meeting him should like the first impression. He’s been solid two days in.” - Tim Harper, Freelance Writer “---Agreed.” - David Akin, Global News “Singh jumps in to remind Scheer that he hasn't answered the question.” - Olivia Stefanovich, CBC “Sounds like by the end of this campaign, Jagmeet Singh will be on first name basis with every Canadian who can’t afford the cost of his or her medication.” - Robyn Urback, CBC “I think so far Jagmeet Singh is directing a lot of the fire and doing it quite effectively.” - John Geddes, Maclean’s “Jagmeet Singh really shone in this debate. But he really did. I think going in, he had the most to gain. He really showed himself here. He first of all, it was really effective of him to show what divisions exist between the NDP and the Green Party.” - Andray Domise, Maclean’s contributor “I thought Singh did much better than I anticipated he was going to.” - Amanda Galbraith, Navigator “Jagmeet Singh says Justin Trudeau is “weak” for not calling out Trump for ripping kids away from moms trying to cross the border.” - David Akin, Global News “I think people love a comeback, so we’ve already seen some of this narrative building up. I think it’s going to be fascinating to see Singh versus Trudeau in the debate... Singh did very well.” - Amanda Galbraith, Navigator ”What I loved in that last segment was when Jagmeet Singh went after Andrew Scheer on the United States, and Scheer refused to criticize Donald Trump and Mr. Singh was talking about the children who were put in cages. That was a lost opportunity for Mr. Scheer, for sure, and Jagmeet, absolutely, with Justin Trudeau not there, he really shone tonight.” - Lisa Kinsella, Daisy Consulting “I think Jagmeet Singh is doing exceptionally well. He had a job to do tonight and he is doing it.” - Lisa Kinsella, Daisy Consulting “It’s interesting to think of Justin Trudeau watching this and thinking ‘Ok, I have to watch out for Jagmeet Singh.’” - John Geddes, Maclean’s ",2019-09-12
NDP,https://www.ndp.ca/news/ndp-commits-undoing-liberal-disappointments-indigenous-peoples,"
NDP Commits to Undoing Liberal Disappointments for Indigenous Peoples Jagmeet Singh and Chief Rudy Turtle campaign in Grassy Narrows GRASSY NARROWS — NDP Leader Jagmeet Singh and the NDP candidate for Kenora, Grassy Narrows Chief Rudy Turtle, were in Grassy Narrows Saturday to talk about the New Democrats’ commitment to reconciliation and undoing the wake of disappointment Justin Trudeau and the Liberals have left in First Nations communities. In 2015, Trudeau promised a new relationship with Indigenous peoples, but four years later Indigenous people have been let down and even mocked by the Liberal Leader. “Mr. Trudeau said all the right things about reconciliation — but reconciliation is about action to make people’s lives better, not just pretty words,” said Singh. “The way Mr. Trudeau has treated Indigenous people hasn’t matched up with his words or promises.” On Friday, the federal government announced it is taking First Nations children to court, appealing a ruling that said the government ""willfully and recklessly'' discriminated against them — prompting Singh to say there’s no excuse that justifies the Trudeau Liberals taking First Nations children to court and demanding Trudeau drop the appeal. And in Grassy Narrows, 50 years ago, toxic chemicals were dumped into the English River system in a corporate crime that left generations of families suffering from mercury poisoning. Trudeau has failed to sign an agreement to help the community care for those suffering the effects of the poison. Meanwhile, when a Grassy Narrows community member confronted the Liberal leader at a party fundraiser, Trudeau mockingly shot back: “Thank you for your donation.” “For First Nations people who were hopeful, the trust has been broken. We’ve been let down,” said Turtle. “The people of Grassy Narrows deserve the kind of care and treatment we would all want for our families. And from coast-to-coast-to-coast, First Nations, Métis and Inuit communities have been left waiting for clean water, decent housing and safe schools where the next generation can get a good start. Indigenous children can’t wait another four years.” Singh and New Democrats have committed to building a treatment centre for Grassy Narrows residents affected by long-term mercury exposure, working with the Nation’s leadership and the community. Singh’s New Deal for People also commits to lifting all drinking water advisories for good by 2021 in First Nations communities, and implementing Shannen’s Dream, which spells out equitable access to education, backed by federal investments and infrastructure, so no students are forced into schools that aren’t safe. ",2019-10-05
NDP,https://www.ndp.ca/news/ndp-reaction-dairy-industry-compensation-package,"
NDP Reaction to the Dairy Industry Compensation Package The NDP Agriculture Critic, Alistair MacGregor (Cowichan—Malahat—Langford), and Deputy Agriculture Critic, Ruth Ellen Brosseau (Berthier—Maskinongé), issued the following statement: ""Today’s announcement reminds us that in a single mandate, Justin Trudeau traded away nearly 8.4% of our dairy production and processing capacity. The Liberals, like the Conservatives before them, are gradually destroying our supply management system and the vitality of our agriculture system. Supply management has been the lifeblood of our regions, and it contributes to our food sovereignty. We should be proud of the system we implemented, and we must protect it, not use it as a bargaining chip during trade negotiations. New Democrats are not afraid to stand up to our trade partners to protect dairy farmers and the supply management system. We did it for CETA, for diafiltered milk, for CPTPP, for CUSMA and you can continue to count on us to stand up and speak out against any further concessions to the dairy sector. As government, we commit to never opening more breaches during future free trade negotiations. After promising to fully compensate the dairy industry, the Liberals announced a package that doesn’t make a clear long-term commitment over the first year in terms of direct paid compensations to producers and does not fully cover the losses incurred by CETA and CPTPP. And this, a couple of weeks before an election. The Liberals forgot about small processors and did not take any concrete commitment for compensation due to losses from CUSMA. The NDP is committed to fully compensating producers for losses due to all trade deals including CUSMA. We will also hold reciprocal standards with our business partners and give our farmers and producers equal footing when competing with foreign products in the Canadian marketplace. We must value and be proud of our local agriculture because products made here meet high quality standards."" ",2019-08-16
